"","tickers2"
"1","AMZN"
"2","ABT"
"3","AES"
"4","ABMD"
"5","IBM"
"6","AMD"
"7","ADBE"
"8","ARE"
"9","APD"
"10","ALK"
"11","BXP"
"12","ALL"
"13","HON"
"14","AMGN"
"15","HES"
"16","AXP"
"17","AEP"
"18","AFL"
"19","AIG"
"20","ADI"
"21","ALXN"
"22","VLO"
"23","APA"
"24","CMCSA"
"25","ANSS"
"26","AAPL"
"27","AMAT"
"28","ALB"
"29","ADM"
"30","PNW"
"31","AEE"
"32","ADSK"
"33","ADP"
"34","AZO"
"35","AVY"
"36","BLL"
"37","BRK.B"
"38","BAX"
"39","BDX"
"40","AME"
"41","VZ"
"42","WRB"
"43","BBY"
"44","SLG"
"45","BIO"
"46","YUM"
"47","FE"
"48","BA"
"49","RHI"
"50","BWA"
"51","BSX"
"52","CHRW"
"53","TTWO"
"54","MTD"
"55","BMY"
"56","OKE"
"57","AVB"
"58","URI"
"59","SRE"
"60","FDX"
"61","VRSN"
"62","APH"
"63","BF.B"
"64","PWR"
"65","CSX"
"66","COG"
"67","CPB"
"68","STZ"
"69","CAH"
"70","CAT"
"71","CTXS"
"72","LUMN"
"73","CERN"
"74","JPM"
"75","CHD"
"76","CINF"
"77","CTAS"
"78","CSCO"
"79","CLX"
"80","KO"
"81","CPRT"
"82","CL"
"83","MAR"
"84","CMA"
"85","NRG"
"86","CAG"
"87","ED"
"88","CMS"
"89","COO"
"90","GLW"
"91","SEE"
"92","CMI"
"93","DHI"
"94","DHR"
"95","MCO"
"96","CTSH"
"97","TGT"
"98","DE"
"99","MS"
"100","RSG"
"101","DIS"
"102","DLTR"
"103","DOV"
"104","OMC"
"105","DTE"
"106","DRE"
"107","FLS"
"108","DRI"
"109","EBAY"
"110","BAC"
"111","C"
"112","EMN"
"113","CDNS"
"114","DISH"
"115","ECL"
"116","PKI"
"117","EA"
"118","CRM"
"119","EMR"
"120","ATO"
"121","ESS"
"122","ETR"
"123","EOG"
"124","EFX"
"125","EQR"
"126","EL"
"127","EXPD"
"128","XOM"
"129","FMC"
"130","NEE"
"131","AIZ"
"132","FAST"
"133","FRT"
"134","FITB"
"135","MTB"
"136","FISV"
"137","FLIR"
"138","BEN"
"139","FCX"
"140","AJG"
"141","GPS"
"142","GD"
"143","GIS"
"144","GPC"
"145","GILD"
"146","IT"
"147","MCK"
"148","NVDA"
"149","GE"
"150","GWW"
"151","HAL"
"152","GS"
"153","HAS"
"154","HSIC"
"155","HSY"
"156","FFIV"
"157","JNPR"
"158","HOLX"
"159","UNM"
"160","HD"
"161","HRL"
"162","CNP"
"163","HUM"
"164","JBHT"
"165","HBAN"
"166","BIIB"
"167","IEX"
"168","ITW"
"169","INTU"
"170","IDXX"
"171","INTC"
"172","IFF"
"173","IP"
"174","IPG"
"175","J"
"176","JKHY"
"177","INCY"
"178","JNJ"
"179","HIG"
"180","KLAC"
"181","DVN"
"182","K"
"183","KEY"
"184","KIM"
"185","KMB"
"186","BLK"
"187","KR"
"188","LRCX"
"189","TDY"
"190","PKG"
"191","AKAM"
"192","LEG"
"193","LEN"
"194","LLY"
"195","LNC"
"196","UPS"
"197","A"
"198","LMT"
"199","L"
"200","CCL"
"201","LOW"
"202","D"
"203","MGM"
"204","MKC"
"205","MCD"
"206","RE"
"207","EW"
"208","HST"
"209","MMC"
"210","MAS"
"211","MLM"
"212","MET"
"213","MXIM"
"214","ATVI"
"215","CVS"
"216","LH"
"217","MSFT"
"218","MU"
"219","MAA"
"220","MCHP"
"221","MMM"
"222","MHK"
"223","KSU"
"224","ILMN"
"225","XEL"
"226","F"
"227","NOV"
"228","NTAP"
"229","NWL"
"230","NEM"
"231","NVR"
"232","NKE"
"233","NSC"
"234","NI"
"235","NTRS"
"236","NOC"
"237","WFC"
"238","NUE"
"239","COF"
"240","OXY"
"241","ODFL"
"242","ORCL"
"243","PCAR"
"244","EXC"
"245","PH"
"246","PAYX"
"247","ALGN"
"248","PPL"
"249","PEP"
"250","PFE"
"251","COP"
"252","PXD"
"253","MO"
"254","PNC"
"255","PPG"
"256","IPGP"
"257","COST"
"258","TROW"
"259","DGX"
"260","PG"
"261","PGR"
"262","PEG"
"263","PHM"
"264","GPN"
"265","QCOM"
"266","RJF"
"267","O"
"268","REG"
"269","UDR"
"270","REGN"
"271","RMD"
"272","USB"
"273","ROST"
"274","ROL"
"275","ROP"
"276","ROK"
"277","RCL"
"278","TRV"
"279","FIS"
"280","MRK"
"281","SLB"
"282","SCHW"
