"Index","AMZN","ABT","AES","ABMD","IBM","AMD","ADBE","ARE","APD","BXP","ALL","HON","AMGN","HES","AXP","AEP","AFL","AIG","ADI","ALXN","VLO","CMCSA","ANSS","AAPL","AMAT","ADM","AEE","ADSK","ADP","AZO","BLL","BRK.B","BAX","BDX","AME","VZ","WRB","BBY","BIO","YUM","FE","BA","BSX","CHRW","TTWO","MTD","BMY","OKE","AVB","URI","SRE","FDX","VRSN","APH","BF.B","CSX","CPB","STZ","CAH","CAT","CTXS","LUMN","CERN","JPM","CHD","CINF","CTAS","CSCO","CLX","KO","CPRT","CL","MAR","CAG","ED","CMS","COO","GLW","CMI","DHI","DHR","MCO","CTSH","TGT","DE","MS","RSG","DIS","DLTR","DOV","OMC","DTE","DRE","DRI","EBAY","BAC","C","CDNS","ECL","EA","CRM","EMR","ATO","ETR","EOG","EFX","EQR","EL","EXPD","XOM","FMC","NEE","FAST","FITB","MTB","FISV","FCX","AJG","GD","GIS","GPC","GILD","IT","MCK","NVDA","GE","GWW","GS","HAS","HSY","HOLX","HD","HRL","CNP","HUM","JBHT","IEX","ITW","INTU","IDXX","INTC","IFF","IP","J","JKHY","INCY","JNJ","HIG","KLAC","K","KEY","KMB","BLK","KR","LRCX","TDY","AKAM","LEN","LLY","UPS","A","LMT","LOW","D","MGM","MKC","MCD","EW","MMC","MAS","MLM","MET","MXIM","ATVI","CVS","LH","MSFT","MU","MAA","MCHP","MMM","KSU","ILMN","XEL","F","NEM","NVR","NKE","NSC","NTRS","NOC","WFC","NUE","COF","ODFL","ORCL","PCAR","EXC","PH","PAYX","ALGN","PPL","PEP","PFE","COP","PXD","MO","PNC","PPG","COST","TROW","DGX","PG","PGR","PEG","PHM","GPN","QCOM","O","REGN","RMD","USB","ROST","ROL","ROP","ROK","RCL","TRV","FIS","MRK","SLB","SCHW","POOL","ZBH","ABC","PFG","SHW","CNC","SIVB","SPG","PRU","AAP","EIX","SO","LUV","T","CVX","STT","SBUX","PSA","SYK","NFLX","SNPS","SYY","ISRG","TFX","TER","TXN","TMO","TIF","TSCO","TYL","TSN","UNP","UNH","VAR","VTR","VFC","VRTX","VMC","WMT","WM","WAT","WST","SJM","WDC","WAB","WY","WHR","SWKS","NDAQ","CME","WMB","LNT","KMX","XLNX","TJX","ZBRA","RF","DPZ","EXR","LVS","DLR","MKTX","CE","DXCM","AMP","LYV","CMG","TDG","MA","BR","DAL","DFS","BK","ULTA","MSCI","PM","V","AWK","CB","MPC","FBHS","KMI","XYL","SWK","LYB","GRMN","PLD","ACN","HCA","VRSK","FLT","FRC","STX","DG","FTNT","TEL","ORLY","GM","CBRE","EXPE","APTV","PSX","AMT","FB","DUK","NOW","MDLZ","ETN","ABBV","TMUS","ZTS","CDW","INFO","WLTW","IQV","BKNG","LDOS","AVGO","TWTR","EVRG","ICE","STE","CI","DOW","AMCR","PEAK","NLOK","DD","CARR","OTIS","CTVA","LHX","TT","TFC","VIAC","IR","PAYC","AON","RTX","ANET","CTLT","SYF","CFG","KEYS","QRVO","ANTM","CCI","MDT","WBA","EQIX","ES","ETSY","JCI","KHC","FTV","SPGI","HLT","GOOGL","WELL","HPE","PYPL","HPQ","GOOG","WEC","MNST","LIN","SBAC","CHTR"
"2020-01-01",201,12,8,13,29,105,17,19,2,3,12,1,12,3,11,6,7,10,4,7,2,12,5,315,10,12,4,10,3,5,4,13,4,33,13,15,0,5,0,11,3,71,11,11,2,1,23,0,4,8,1,13,4,4,4,1,7,3,5,19,2,0,4,53,3,9,4,27,10,15,4,35,3,6,8,4,4,3,7,0,3,64,2,30,4,18,3,88,6,5,0,3,2,8,0,0,0,6,3,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,79,1,20,4,1,1,16,1,11,3,3,0,3,11,3,26,5,2,4,2,4,28,2,19,7,26,2,6,3,22,0,4,6,4,10,113,14,13,14,4,2,25,6,1,1,2,5,0,7,8,0,119,17,2,2,27,0,3,3,20,18,0,18,2,0,5,26,2,16,2,7,2,4,0,3,6,2,5,35,14,4,27,5,3,16,6,6,15,0,3,5,5,11,21,1,1,4,5,0,1,0,1,4,5,16,19,3,0,2,0,5,1,9,1,9,6,2,5,6,6,43,21,2,18,3,6,112,1,5,4,1,2,5,4,9,3,2,6,7,9,2,8,3,11,5,18,7,6,0,5,11,2,2,4,5,5,6,10,2,10,10,9,0,1,10,5,1,6,1,1,5,0,0,24,3,18,0,8,6,5,6,3,10,45,4,5,5,4,6,3,2,1,2,1,5,1,4,3,3,17,2,9,46,0,9,5,5,0,4,7,114,7,6,4,46,10,1,0,1,1,3,0,6,1,10,67,1,2,0,8,6,0,1,0,9,0,0,2,3,0,0,0,4,5,4,0,3,1,0,0,12,6,13,4,4,21,8,34,5,0,35,3,3,3,52,4,4,24,5,78,1,1,0,0,6
"2020-01-02",821,20,7,8,49,685,37,13,7,8,24,16,44,4,18,9,9,11,7,18,4,46,16,1533,41,10,4,26,11,17,6,37,29,26,8,51,4,17,3,12,8,286,32,1,5,7,54,4,3,9,7,52,11,4,4,11,7,11,10,70,9,0,7,135,13,9,8,49,3,32,12,51,9,19,13,6,3,18,9,9,10,70,15,102,18,59,11,374,13,16,4,8,3,35,0,0,0,13,11,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,197,6,155,7,5,10,40,5,7,16,12,1,4,16,4,116,13,11,2,1,63,77,5,27,12,29,4,31,5,31,2,9,9,24,18,52,55,27,14,9,7,94,17,8,4,4,23,6,33,32,4,335,102,5,23,59,4,58,11,77,33,1,42,9,2,63,56,10,7,2,27,10,5,5,4,14,9,22,72,27,8,53,16,5,44,24,13,41,18,20,10,13,53,24,19,4,12,21,1,9,3,10,8,11,60,23,12,2,6,0,5,7,13,2,12,8,4,7,9,14,118,37,5,92,21,13,303,5,5,18,11,2,12,8,40,7,5,8,11,30,10,13,3,11,5,76,18,4,1,6,44,18,11,7,19,1,6,24,3,9,65,14,6,5,20,5,28,6,12,6,9,4,1,68,9,52,4,23,9,9,38,15,22,70,15,7,12,5,4,4,4,6,5,6,12,6,3,10,2,27,13,21,47,10,37,8,10,8,6,25,380,21,28,9,66,18,26,11,8,10,10,2,20,8,51,146,3,5,0,16,43,4,4,6,10,0,0,8,10,7,2,14,8,12,4,0,15,2,3,1,18,12,11,8,26,28,6,222,6,9,30,4,10,6,199,3,9,92,4,207,4,10,6,9,22
"2020-01-03",558,19,4,5,54,418,27,12,17,6,7,24,22,22,10,27,9,14,12,17,39,35,13,1170,21,6,3,7,24,11,8,30,7,36,9,75,3,12,3,26,10,258,26,2,9,1,27,8,3,5,2,36,16,9,2,11,4,19,8,46,23,0,11,114,8,4,9,49,6,16,14,109,5,10,8,9,7,20,8,5,17,67,17,57,12,54,13,224,10,9,3,7,7,16,0,0,0,8,5,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,69,0,0,0,0,7,0,161,6,75,12,13,6,54,7,6,42,5,0,5,24,5,58,9,10,0,4,148,66,6,16,11,18,8,19,14,32,2,9,12,16,8,84,346,22,14,2,4,106,15,4,1,8,19,8,26,23,3,213,83,2,12,37,13,37,8,62,35,3,33,8,13,213,40,10,4,1,40,2,8,8,3,6,3,21,34,55,33,39,9,12,55,6,11,37,28,26,7,11,24,20,22,5,10,9,4,7,4,9,9,12,54,36,15,1,7,0,4,10,10,5,9,10,9,3,8,21,120,71,11,59,1,6,294,6,6,8,2,5,10,9,8,11,4,12,11,29,7,10,3,15,4,76,17,12,2,4,24,2,5,7,25,11,12,10,5,11,35,10,1,3,23,4,4,4,5,4,15,13,2,85,11,39,6,41,4,4,21,11,28,52,11,9,40,4,8,3,4,19,6,15,32,6,5,15,0,15,15,16,34,7,64,6,22,1,12,11,385,12,27,12,49,27,28,10,9,5,2,2,21,13,41,183,3,15,0,12,45,4,4,2,16,0,0,8,33,10,5,15,11,8,7,0,13,1,7,7,8,14,9,9,12,23,7,326,13,4,16,2,21,7,194,6,10,52,18,213,4,6,15,6,22
"2020-01-04",174,7,4,1,27,98,10,17,2,1,7,12,10,15,4,2,3,8,5,9,7,4,3,276,7,5,4,5,5,3,4,8,2,62,6,19,0,3,1,8,5,86,8,2,5,4,22,4,5,3,20,7,6,4,1,4,2,20,2,13,1,0,1,62,3,1,5,15,2,13,5,22,6,4,2,5,0,4,4,1,3,32,5,21,5,52,5,76,5,5,8,1,0,7,0,0,0,1,2,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,0,80,5,40,2,5,3,20,5,1,13,4,4,3,12,3,30,4,8,2,4,35,50,4,10,10,39,3,25,7,11,0,6,25,10,7,35,105,17,4,1,1,30,18,2,1,4,19,0,9,9,4,86,21,1,6,25,9,13,4,25,13,0,28,1,5,68,12,3,8,0,14,20,5,3,4,7,4,10,43,13,2,9,7,2,16,5,9,19,10,9,3,4,10,19,3,3,2,11,3,4,1,3,8,1,25,16,4,1,3,0,2,3,4,0,4,4,1,2,3,10,34,25,7,33,8,3,96,1,11,12,4,4,7,4,8,3,0,7,5,15,9,2,6,15,7,21,10,1,0,4,5,1,6,3,21,6,14,3,3,9,14,8,3,9,12,3,5,1,0,1,5,2,1,33,9,21,1,12,2,3,7,1,7,27,2,6,6,4,4,3,2,4,2,5,3,5,7,7,1,8,6,5,18,4,25,2,3,1,6,9,143,7,11,5,47,14,5,7,2,2,4,2,6,5,4,84,0,8,1,6,9,2,3,2,5,0,0,0,19,3,0,3,4,10,2,0,5,4,4,2,7,8,6,8,11,17,13,20,6,5,11,4,2,5,66,1,3,18,7,44,3,4,4,1,6
"2020-01-05",212,8,5,1,16,100,14,17,5,2,10,20,11,10,10,4,4,9,6,9,15,13,7,332,15,4,3,5,5,7,5,16,5,37,6,17,1,8,0,9,3,190,10,4,8,2,13,6,3,8,4,17,7,5,2,8,3,18,4,11,7,0,5,50,7,3,9,31,3,12,9,22,3,3,11,4,4,6,5,6,7,69,5,19,8,26,9,82,8,5,8,2,2,5,0,0,0,5,1,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,0,65,4,45,7,4,2,19,5,7,12,5,1,7,8,2,51,5,5,2,4,32,34,1,8,6,14,8,11,5,13,1,8,12,6,9,71,168,11,13,4,8,32,7,5,4,4,13,4,16,11,1,101,30,2,3,20,9,7,6,27,12,1,35,8,4,88,24,7,4,2,19,3,3,4,2,11,8,5,20,11,5,11,3,3,27,5,5,36,3,12,3,5,15,19,3,4,6,7,1,4,4,7,4,4,18,18,8,1,7,0,1,4,7,2,6,3,7,2,4,11,43,23,7,27,8,4,113,1,5,4,2,3,9,5,5,3,1,5,6,21,12,5,2,12,5,40,17,5,1,5,7,3,3,6,25,1,6,4,2,4,10,5,5,10,8,2,1,3,0,5,13,3,3,36,7,17,3,17,3,2,8,2,11,31,5,5,14,5,8,6,2,7,6,3,7,4,6,4,2,17,5,13,25,10,15,3,2,1,8,6,184,11,19,3,54,13,7,2,2,3,4,2,1,9,9,124,0,21,0,7,15,3,1,2,6,0,0,1,27,5,6,3,8,14,4,0,8,2,1,6,9,9,9,4,8,20,4,69,5,2,14,5,6,4,78,2,4,17,8,69,3,3,3,2,8
"2020-01-06",847,12,5,35,68,280,26,18,11,9,16,17,32,10,14,6,4,12,7,20,14,44,2,957,38,22,15,18,20,25,4,37,11,21,10,57,3,17,6,87,7,540,21,6,29,3,36,14,3,4,17,35,8,7,4,8,16,27,6,40,12,0,12,156,7,5,8,37,14,23,10,89,13,20,9,3,5,6,5,12,16,51,15,41,6,67,10,281,31,9,4,23,8,15,0,0,0,9,13,48,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,53,0,0,0,0,2,0,173,5,111,11,6,8,75,2,14,34,12,2,3,12,4,99,6,8,3,6,39,88,4,14,19,35,2,18,18,18,8,12,24,33,19,36,187,26,17,10,3,144,19,2,13,5,24,6,35,17,9,226,65,4,58,32,8,19,25,81,62,0,54,9,2,115,37,6,3,4,28,8,7,4,6,21,17,15,83,34,34,25,20,9,36,8,11,33,13,24,7,12,51,31,19,23,21,11,0,5,5,5,7,14,96,29,8,2,5,0,6,4,19,14,7,16,9,27,10,28,141,47,14,55,10,13,532,3,3,10,5,5,8,10,16,13,1,5,11,38,9,10,5,37,7,118,13,3,2,3,20,1,1,9,31,6,14,16,1,13,24,6,6,7,12,4,8,6,7,4,28,7,2,40,6,50,18,24,7,12,25,5,17,45,8,11,34,2,19,13,7,9,5,14,21,4,3,5,14,42,6,23,38,15,40,6,7,4,16,15,510,12,35,8,47,37,18,2,5,6,1,4,13,6,20,214,5,18,0,8,38,2,2,23,10,0,0,4,20,2,3,15,5,16,4,0,7,2,1,11,11,11,12,8,17,40,3,272,17,9,16,7,10,9,382,16,6,43,47,249,5,13,8,4,25
"2020-01-07",654,23,6,10,83,397,40,46,9,3,14,26,28,7,12,8,10,14,11,110,10,50,11,783,48,13,11,15,7,14,4,43,14,18,17,62,2,16,10,33,5,650,9,9,27,9,67,7,11,3,5,26,5,8,5,17,22,72,5,46,8,0,9,150,7,2,9,47,5,29,11,82,13,27,32,1,15,12,6,15,21,76,22,60,29,54,12,248,15,3,4,20,7,13,0,0,0,10,7,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,118,7,189,12,5,10,56,8,5,10,8,2,4,10,5,190,3,6,1,4,29,123,3,22,21,19,4,19,15,55,3,39,50,17,7,52,86,33,20,14,5,137,23,2,11,6,31,17,36,41,7,253,385,1,144,39,14,11,4,123,38,0,52,7,4,40,55,8,12,4,46,20,8,3,7,9,8,28,90,18,5,24,11,6,44,5,18,35,27,17,15,7,83,26,11,5,7,4,6,10,10,10,7,10,97,19,16,2,12,0,2,19,7,6,14,11,23,5,18,22,99,69,12,53,12,10,413,21,7,37,8,8,39,16,12,11,5,15,11,39,11,11,9,26,3,89,10,6,0,6,147,1,1,3,25,10,21,15,3,11,27,6,2,16,20,5,11,21,4,5,42,9,2,45,11,50,7,26,13,20,40,7,26,42,12,11,10,8,21,2,3,5,11,6,52,10,14,8,2,15,13,9,32,8,93,4,8,4,14,24,513,11,13,7,62,72,64,3,3,7,5,6,17,10,30,253,2,24,2,11,35,2,2,11,21,0,0,2,9,2,3,13,5,20,5,0,19,3,4,5,9,6,17,14,29,70,9,240,16,8,18,4,35,7,253,5,5,127,15,287,51,26,4,2,16
"2020-01-08",678,25,20,9,70,281,52,20,11,7,25,6,23,21,37,12,16,14,12,22,16,81,12,994,23,13,3,27,5,19,5,29,12,59,17,73,1,23,10,22,6,1070,13,13,21,10,60,13,6,4,6,45,5,9,4,9,18,292,6,27,10,0,10,154,10,8,8,69,6,23,8,162,10,18,20,2,8,14,5,29,26,97,14,42,16,64,11,219,33,6,5,6,3,8,0,0,0,12,9,64,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,45,0,0,0,0,4,0,117,4,124,11,5,14,79,3,6,34,8,2,3,19,9,109,8,5,2,10,13,53,11,17,22,16,8,28,32,49,7,11,207,47,14,67,234,34,17,14,2,226,19,9,12,4,43,10,48,64,15,323,180,4,48,42,25,29,8,97,52,3,44,3,6,139,40,11,7,4,26,14,7,3,22,10,17,26,47,17,14,23,18,9,137,12,18,42,14,13,14,15,74,35,34,13,20,16,4,8,15,14,17,15,84,22,13,4,14,0,3,7,24,5,19,26,8,5,13,28,107,54,22,116,11,13,531,11,9,22,6,8,20,18,8,15,2,9,12,69,17,5,17,70,9,98,10,15,1,2,48,8,8,9,30,10,18,19,1,8,29,13,14,8,17,6,17,25,4,7,30,10,6,48,4,88,8,29,9,15,54,9,19,101,14,7,18,10,12,6,13,6,8,11,21,2,15,10,11,27,13,15,23,9,87,7,8,6,30,20,442,11,27,8,59,59,27,9,5,7,14,8,26,6,30,335,4,33,3,10,39,3,4,13,10,0,0,4,24,3,2,29,7,15,3,0,6,2,6,6,13,6,27,9,50,330,9,445,9,6,24,2,16,17,208,17,12,108,19,223,9,12,7,6,20
"2020-01-09",604,21,13,18,54,499,51,19,20,4,19,10,34,12,35,11,10,17,14,24,11,42,9,1413,26,29,13,20,11,17,12,42,15,45,10,96,3,29,10,43,10,734,12,14,20,6,121,11,6,1,9,27,4,12,5,12,7,102,4,42,21,0,16,126,5,7,16,59,16,77,6,74,11,17,14,3,11,9,11,17,20,48,22,75,21,65,14,212,35,11,6,8,5,13,0,0,0,8,13,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,103,12,163,12,15,31,107,5,7,27,6,4,8,13,3,101,8,4,1,3,19,67,5,16,29,18,8,35,14,45,2,10,63,44,9,56,82,32,11,7,19,185,15,4,10,6,33,2,40,27,14,372,109,6,25,38,15,24,12,95,46,4,51,4,14,52,47,8,15,8,43,26,6,7,20,56,18,22,57,15,11,30,13,7,207,11,20,40,14,9,9,7,97,23,47,13,14,32,2,5,13,12,11,27,98,38,20,3,8,24,11,7,11,14,21,14,21,5,18,15,157,39,16,204,10,7,406,20,11,46,5,6,15,11,8,23,2,6,9,48,12,4,8,51,4,123,12,8,7,5,41,6,5,6,15,6,19,22,1,8,35,39,10,7,20,6,10,7,6,6,26,7,6,70,10,75,9,12,6,18,68,4,20,87,8,8,10,5,34,4,19,5,7,6,24,4,6,5,7,33,15,15,24,8,97,4,8,15,29,17,551,8,23,9,74,48,31,9,4,6,6,8,16,11,54,288,4,26,7,14,47,1,5,20,11,0,0,0,7,2,3,17,8,22,6,0,6,12,5,5,15,14,17,12,52,84,8,184,19,10,36,11,8,14,228,27,8,83,32,248,7,26,15,3,22
"2020-01-10",588,15,6,27,65,301,63,27,12,9,19,13,33,4,27,9,10,21,23,30,33,33,12,1107,43,14,4,15,9,11,8,15,11,49,14,53,2,28,3,35,7,934,10,9,14,11,115,6,7,10,6,25,6,9,5,10,8,68,11,48,12,0,1,156,8,8,16,46,6,57,9,70,6,21,15,12,20,9,14,14,20,38,12,82,27,61,25,134,17,14,6,8,7,19,0,0,0,23,8,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,35,0,107,4,120,13,15,19,70,16,11,28,7,0,5,4,5,87,6,8,2,5,12,69,1,11,25,24,9,49,11,35,0,31,52,154,11,48,46,15,23,6,9,104,40,5,9,5,61,4,39,35,6,300,83,20,25,32,6,35,7,54,45,2,43,6,8,35,79,5,6,11,28,18,7,3,11,16,19,24,90,14,11,25,20,13,92,12,12,49,7,10,7,9,108,21,31,15,17,12,16,3,5,9,24,19,47,18,7,3,14,23,5,4,10,5,23,15,16,9,11,31,91,41,18,64,11,10,294,22,9,115,2,8,12,17,14,9,2,57,7,40,21,7,11,21,4,100,5,8,2,6,22,3,5,5,53,10,16,16,8,9,40,22,9,11,12,8,11,12,9,5,43,7,3,54,11,54,8,35,7,19,74,6,25,68,11,14,31,5,33,4,6,3,3,8,16,9,11,5,9,16,14,8,38,2,72,11,12,12,13,37,490,7,32,6,82,48,16,12,6,4,10,10,22,5,64,205,12,19,3,9,50,3,4,61,17,0,0,3,6,5,5,11,7,12,7,0,11,10,4,9,10,45,17,14,34,50,6,309,13,5,15,7,14,11,242,20,2,47,17,219,8,43,8,4,19
