Instrument,MNEM
891399,@AMZN
916328,U:ABT
545101,U:AES
777953,@ABMD
906187,U:IBM
936365,@AMD
749382,@ADBE
891631,U:ARE
905271,U:APD
921794,U:ALK
894371,U:BXP
322677,U:ALL
906191,U:HON
938692,@AMGN
905802,U:HES
906156,U:AXP
905425,@AEP
933185,U:AFL
916305,U:AIG
905276,@ADI
873087,@ALXN
982852,U:VLO
921983,@APA
981550,@CMCSA
874830,@ANSS
992816,@AAPL
905296,@AMAT
130298,U:ALB
921093,U:ADM
902607,U:PNW
670942,U:AEE
702259,@ADSK
912669,@ADP
544616,U:AZO
921161,U:AVY
932060,U:BLL
874227,U:BRK.B
916365,U:BAX
905876,U:BDX
921725,U:AME
945384,U:VZ
906828,U:WRB
929302,U:BBY
895784,U:SLG
992765,U:BIO
878574,U:YUM
905159,U:FE
904818,U:BA
923649,U:RHI
329709,U:BWA
325824,U:BSX
879628,@CHRW
889831,@TTWO
670032,U:MTD
905080,U:BMY
904480,U:OKE
130502,U:AVB
670778,U:URI
902103,U:SRE
951849,U:FDX
674693,@VRSN
546075,U:APH
912216,U:BF.B
677091,U:PWR
993189,@CSX
542823,U:COG
905075,U:CPB
937083,U:STZ
944704,U:CAH
902224,U:CAT
867705,@CTXS
906838,U:LUMN
741643,@CERN
902242,U:JPM
982440,U:CHD
951545,@CINF
944777,@CTAS
542868,@CSCO
916125,U:CLX
904282,U:KO
130591,@CPRT
906148,U:CL
677631,@MAR
922964,U:CMA
28179N,U:NRG
929814,U:CAG
902288,U:ED
901686,U:CMS
938928,U:COO
912273,U:GLW
923036,U:SEE
905966,U:CMI
325922,U:DHI
912941,U:DHR
683118,U:MCO
683199,@CTSH
923425,U:TGT
906189,U:DE
327998,U:MS
683432,U:RSG
921964,U:DIS
154259,@DLTR
904830,U:DOV
932913,U:OMC
905214,U:DTE
513260,U:DRE
905755,U:FLS
152719,U:DRI
687609,@EBAY
923937,U:BAC
741344,U:C
357922,U:EMN
755148,@CDNS
135448,@DISH
921268,U:ECL
912157,U:PKI
500320,@EA
28236L,U:CRM
905115,U:EMR
511339,U:ATO
131844,U:ESS
902306,U:ETR
500373,U:EOG
906194,U:EFX
329534,U:EQR
867375,U:EL
910722,@EXPD
905039,U:XOM
905082,U:FMC
905016,U:NEE
28341F,U:AIZ
755980,@FAST
905994,U:FRT
997198,@FITB
951503,U:MTB
741123,@FISV
329097,@FLIR
938076,U:BEN
152594,U:FCX
756957,U:AJG
951018,U:GPS
907652,U:GD
905801,U:GIS
906511,U:GPC
546697,@GILD
324784,U:IT
134784,U:MCK
694405,@NVDA
906150,U:GE
905898,U:GWW
904678,U:HAL
696738,U:GS
912030,@HAS
867185,@HSIC
905077,U:HSY
699628,@FFIV
699943,U:JNPR
542983,@HOLX
741410,U:UNM
998171,U:HD
921051,U:HRL
904842,U:CNP
916860,U:HUM
945411,@JBHT
951068,@HBAN
545725,@BIIB
541798,U:IEX
905052,U:ITW
328184,@INTU
545098,@IDXX
922726,@INTC
905050,U:IFF
904069,U:IP
923465,U:IPG
912142,U:J
701667,@JKHY
357049,@INCY
912212,U:JNJ
867871,U:HIG
993062,@KLAC
271980,U:DVN
905922,U:K
916130,U:KEY
546169,U:KIM
902354,U:KMB
274794,U:BLK
912134,U:KR
946387,@LRCX
277669,U:TDY
277189,U:PKG
277355,@AKAM
906487,U:LEG
912219,U:LEN
921290,U:LLY
912402,U:LNC
277487,U:UPS
277642,U:A
154423,U:LMT
922418,U:L
755695,U:CCL
905620,U:LOW
944314,U:D
516007,U:MGM
510493,U:MKC
921910,U:MCD
311759,U:RE
286558,U:EW
912588,@HST
904780,U:MMC
905624,U:MAS
130062,U:MLM
286738,U:MET
771830,@MXIM
312367,@ATVI
912635,U:CVS
152533,U:LH
719643,@MSFT
999506,@MU
360659,U:MAA
328228,@MCHP
902172,U:MMM
325475,U:MHK
905900,U:KSU
298957,@ILMN
905010,@XEL
902230,U:F
884383,U:NOV
867422,@NTAP
906933,@NWL
912160,U:NEM
324981,U:NVR
993249,U:NKE
901899,U:NSC
906176,U:NI
905861,@NTRS
905809,U:NOC
906195,U:WFC
921482,U:NUE
134843,U:COF
905102,U:OXY
545918,@ODFL
719618,U:ORCL
921757,@PCAR
902317,@EXC
905150,U:PH
945297,@PAYX
13466Q,@ALGN
902107,U:PPL
905677,@PEP
904030,U:PFE
901666,U:COP
895705,U:PXD
904853,U:MO
944175,U:PNC
901897,U:PPG
41103J,@IPGP
312385,@COST
729104,@TROW
877181,U:DGX
912228,U:PG
936324,U:PGR
902321,U:PEG
912518,U:PHM
13471D,U:GPN
546370,@QCOM
777844,U:RJF
134057,U:O
312451,@REG
992656,U:UDR
544623,@REGN
141405,U:RMD
951046,U:USB
702365,@ROST
905652,U:ROL
546965,U:ROP
902233,U:ROK
322549,U:RCL
933974,U:TRV
14015T,U:FIS
905019,U:MRK
912090,U:SLB
755741,U:SCHW
311917,@POOL
14361V,U:ZBH
154680,U:ABC
14698C,@PFG
905361,U:SHW
14863U,U:CNC
518628,@SIVB
357834,U:SPG
944987,U:AOS
906400,U:SNA
14861V,U:PRU
14806F,U:AAP
902324,U:EIX
902325,U:SO
905647,U:LUV
945388,U:T
905024,U:CVX
951052,U:STT
326143,@SBUX
905792,U:PSA
981722,U:SYK
15303X,@NFLX
325059,@SNPS
916079,U:SYY
292538,@ISRG
921509,U:TFX
912744,@TER
905061,@TXN
921649,U:TXT
906394,U:TMO
745110,U:TIF
867138,U:DVA
130088,@TSCO
922853,U:TYL
906643,U:TSN
544682,U:MRO
905105,U:UNP
702635,U:UNH
992953,U:UHS
906220,U:VAR
500344,U:VTR
901892,U:VFC
545310,@VRTX
905816,U:VMC
912146,U:VNO
916548,U:WMT
519514,U:WM
867390,U:WAT
923298,U:WST
912441,U:SJM
906785,@WDC
141545,U:WAB
905818,U:WY
904869,U:WHR
923602,@SWKS
26406N,@WYNN
25735K,@NDAQ
26393N,@CME
922407,U:WMB
27338P,@LKQ
906979,@LNT
877723,U:KMX
543542,@XLNX
921855,U:TJX
545588,@ZBRA
951584,@ZION
951051,U:RF
28833V,U:DPZ
28984D,U:EXR
29502P,U:LVS
29304L,U:DLR
28484K,@MKTX
29756N,U:CE
905997,U:TAP
30241D,@DXCM
31109K,U:CF
31604H,U:AMP
31610N,U:UAA
32521X,U:LYV
32199R,U:CMG
32593H,U:TDG
32451J,U:MA
41071J,U:HBI
41195M,U:WU
50314E,U:BR
517465,@PBCT
50469N,U:DAL
50642F,U:DFS
50463C,U:CXO
905840,U:BK
50806E,@ULTA
51245V,U:IVZ
50901M,U:MSCI
51605D,U:PM
51683M,U:V
51922M,U:AWK
328314,U:CB
31196R,@DISCA
54099E,@DISCK
77229W,U:MPC
77597H,U:FBHS
771767,U:MOS
74500P,U:KMI
77805K,U:XYL
921503,U:SWK
69264X,U:LYB
921218,U:PVH
255781,@GRMN
75586W,U:HII
670129,U:PLD
14352P,U:ACN
749688,U:HCA
67576C,@VRSK
32730D,@UAL
69723H,U:FLT
894145,U:RL
72929C,U:FRC
69465W,U:CBOE
26599V,@STX
68301M,U:DG
67888X,@FTNT
904878,U:MSI
921934,U:HFC
50661L,U:TEL
328595,@ORLY
68470T,U:GM
28513N,U:CBRE
31412T,@EXPE
77805R,U:APTV
87035H,U:PSX
680902,U:AMT
86831C,@FB
904383,U:DUK
87735V,@FANG
87161Q,U:NOW
13967E,@MDLZ
903749,U:ETN
87851X,U:ABBV
50394K,@TMUS
88054V,U:ZTS
77444J,U:NCLH
937343,U:LB
89257H,@NWSA
89257J,@NWS
89261N,@CDW
93801Q,@AAL
88989Y,U:INFO
13967H,@WLTW
7025QJ,U:UA
921431,U:BKR
2653G3,U:LW
88391F,U:IQV
696306,@BKNG
9011GV,U:FTI
31676F,U:LDOS
54332K,@AVGO
266220,U:TPR
91240W,U:TWTR
902305,U:EVRG
93045D,U:ALLE
30730Q,U:ICE
325895,U:STE
546487,U:PRGO
9660J1,U:VNT
912278,U:CI
9436NF,U:DOW
9451T5,U:AMCR
945589,U:PEAK
905284,U:XRX
9406MC,@FOXA
9406MA,@FOX
541900,@NLOK
9140VW,U:DD
9664FY,U:CARR
9664FX,U:OTIS
993394,U:GL
9448Z6,U:CTVA
905409,U:LHX
905446,U:TT
905113,U:HWM
992305,U:TFC
32480Q,@VIAC
9084MP,U:IR
8858FM,U:PAYC
922817,U:AON
906585,U:PNR
905122,U:RTX
906931,@VTRS
132808,U:AIV
8857RL,U:ANET
8866F3,U:CTLT
8894H9,U:SYF
9110QM,U:CFG
9110QF,U:KEYS
9269TG,@QRVO
14737P,U:ANTM
687197,U:CCI
906496,U:MDT
904866,@WBA
894720,U:IRM
261977,@EQIX
921999,U:ES
72467E,U:NLSN
9434UH,@ETSY
545615,U:JCI
510209,@XRAY
96699P,U:WRK
9801CJ,@KHC
7552EK,U:FTV
905414,U:SPGI
93781J,U:HLT
29026M,@GOOGL
982579,U:WELL
8660JC,U:HPE
9801CK,@PYPL
905277,U:HPQ
916091,U:DXC
871997,@GOOG
902335,U:WEC
512785,@MNST
9373MH,U:LIN
699786,@SBAC
68470X,@CHTR
